individual,height_cm,sla,ldmc,species_full,lma,treatment,block,plot,vwc,sample_id,c,n,pH,doc_mg_g,tdn_mg_g,din_mg_g,don_mg_g,nh4_mg_g,nh4_n_mg_g,no3_mg_g,no3_n_mg_g,na_mg_g,k_mg_g,mg_mg_g,ca_mg_g,cl_mg_g,po4_mg_g,so4_mg_g,percent_clay_0to5,percent_clay_5to15,percent_silt_plus_clay_0to5,percent_silt_plus_clay_5to15,percent_silt_0to5,percent_silt_5to15,sand,percent_sand_5to15,shannon_bacteria_15,shannon_bacteria_5,species_richness_bacteria_15,species_richness_bacteria_5,simpson_bacteria_15,simpson_bacteria_5,shannon_fungi_5,shannon_fungi_15,species_richness_fungi_5,species_richness_fungi_15,simpson_fungi_5,simpson_fungi_15,latitude,longitude,slope,aspect,TPI,TRI,flowdir,twi,elevation,Aspect,amf_5,amf_15,EMF,ectomycorrhizae_15,other_5,other_15,PPF,plant_pathogen_15,unassigned_5,unassigned_15,litter_duff,rock,bare,mulch,biochar,nitrifiers,pcaf,Proteobacteria,Verrucomicrobiota,Chloroflexi,total_c,total_n,DOC,TDN,ammonium,nitrate,potassium,calcium,phosphate,sulfate,cations,DIN,DON
1,11,0.07721763533905843,280.3319129849742,Oreochrysum parryi,0.01295040952250162,m,b1,b1a,14,CP_B1_M_A_5,1.45,0.1,5.91,80.07,6.2,2.48,3.73,1.16,0.9,6.99,1.58,2.31,13.9,4.08,7.8,7.47,16.67,8.7,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.20524184099999998,0.033873809,21.109032458999998,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,-0.5308182639973635,0,1.5774958639999999,0,1.4547,0.0993,13.85,1.073,0.2,1.2093,2.405,1.35,2.884,1.505,215.37621233697345,1.4093,-0.33630000000000004
2,13,0.10808075032619656,228.25938566552895,Oreochrysum parryi,0.00925234139272643,m,b1,b1a,14,CP_B1_M_A_5,1.45,0.1,5.91,80.07,6.2,2.48,3.73,1.16,0.9,6.99,1.58,2.31,13.9,4.08,7.8,7.47,16.67,8.7,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.20524184099999998,0.033873809,21.109032458999998,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,-0.5308182639973635,0,1.5774958639999999,0,1.4547,0.0993,13.85,1.073,0.2,1.2093,2.405,1.35,2.884,1.505,215.37621233697345,1.4093,-0.33630000000000004
3,9,0.09947216626335235,236.1339678868479,Oreochrysum parryi,0.01005306346051117,m,b1,b1a,14,CP_B1_M_A_5,1.45,0.1,5.91,80.07,6.2,2.48,3.73,1.16,0.9,6.99,1.58,2.31,13.9,4.08,7.8,7.47,16.67,8.7,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.20524184099999998,0.033873809,21.109032458999998,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,-0.5308182639973635,0,1.5774958639999999,0,1.4547,0.0993,13.85,1.073,0.2,1.2093,2.405,1.35,2.884,1.505,215.37621233697345,1.4093,-0.33630000000000004
4,10,0.0931109739354031,248.8379814077025,Oreochrysum parryi,0.01073987262439938,m,b1,b1a,14,CP_B1_M_A_5,1.45,0.1,5.91,80.07,6.2,2.48,3.73,1.16,0.9,6.99,1.58,2.31,13.9,4.08,7.8,7.47,16.67,8.7,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.48929161649688,5.43661210016897,0.992682198838467,0.993295647142233,0.905258254964631,0.918936176052937,3.48839553067397,3.03116116901379,181,161,0.93776815961338,0.890223092783193,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0.049040086,0.027099047,0.17254845,0.788130618,78.46413716399995,63.996657785999965,0.20524184099999998,0.033873809,21.109032458999998,35.18133779399999,24,6.5,17.5,49,1.5,2.140099282,-0.5308182639973635,0,1.5774958639999999,0,1.4547,0.0993,13.85,1.073,0.2,1.2093,2.405,1.35,2.884,1.505,215.37621233697345,1.4093,-0.33630000000000004
1,11,0.1241866586188343,307.5724524774073,Vaccinium sp,0.0080523947670522,bm,b1,b1c,14.7,CP_B1_BM_C_5,1.4,0.07,6.08,94.74,8.56,1.29,7.27,0.39,0.3,4.37,0.99,5.46,28.25,2.73,12.74,10.72,9.93,12.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.79766445147637,5.795591707751,0.995318949404201,0.995413149805374,0.924243285086909,0.927012285546557,3.5696694455153,3.34662222448576,97,125,0.953707573721555,0.926465805805892,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0,0,9.598785166,5.604760208,60.717710995000004,71.751350473,0.111892583,0.013710274,29.571611253,22.630179059,33.5,4,7.5,33.5,5.5,3.848400758,0.24986111195935007,0.051117278,1.935154082,0.080327151,1.4045,0.0696,17.02,1.538,0.07,0.7855,5.075,2.288,1.784,2.3200000000000003,330.8019057095323,0.8554999999999999,0.6825000000000001
2,10,0.11280676165761262,389.5394223263076,Vaccinium sp,0.00886471684237481,bm,b1,b1c,14.7,CP_B1_BM_C_5,1.4,0.07,6.08,94.74,8.56,1.29,7.27,0.39,0.3,4.37,0.99,5.46,28.25,2.73,12.74,10.72,9.93,12.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.79766445147637,5.795591707751,0.995318949404201,0.995413149805374,0.924243285086909,0.927012285546557,3.5696694455153,3.34662222448576,97,125,0.953707573721555,0.926465805805892,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0,0,9.598785166,5.604760208,60.717710995000004,71.751350473,0.111892583,0.013710274,29.571611253,22.630179059,33.5,4,7.5,33.5,5.5,3.848400758,0.24986111195935007,0.051117278,1.935154082,0.080327151,1.4045,0.0696,17.02,1.538,0.07,0.7855,5.075,2.288,1.784,2.3200000000000003,330.8019057095323,0.8554999999999999,0.6825000000000001
3,11,0.10698820001490436,367.60211169769383,Vaccinium sp,0.00934682516259448,bm,b1,b1c,14.7,CP_B1_BM_C_5,1.4,0.07,6.08,94.74,8.56,1.29,7.27,0.39,0.3,4.37,0.99,5.46,28.25,2.73,12.74,10.72,9.93,12.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.79766445147637,5.795591707751,0.995318949404201,0.995413149805374,0.924243285086909,0.927012285546557,3.5696694455153,3.34662222448576,97,125,0.953707573721555,0.926465805805892,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0,0,9.598785166,5.604760208,60.717710995000004,71.751350473,0.111892583,0.013710274,29.571611253,22.630179059,33.5,4,7.5,33.5,5.5,3.848400758,0.24986111195935007,0.051117278,1.935154082,0.080327151,1.4045,0.0696,17.02,1.538,0.07,0.7855,5.075,2.288,1.784,2.3200000000000003,330.8019057095323,0.8554999999999999,0.6825000000000001
4,12,0.11532018599644576,371.8048024786987,Vaccinium sp,0.00867150873335238,bm,b1,b1c,14.7,CP_B1_BM_C_5,1.4,0.07,6.08,94.74,8.56,1.29,7.27,0.39,0.3,4.37,0.99,5.46,28.25,2.73,12.74,10.72,9.93,12.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.79766445147637,5.795591707751,0.995318949404201,0.995413149805374,0.924243285086909,0.927012285546557,3.5696694455153,3.34662222448576,97,125,0.953707573721555,0.926465805805892,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0,0,9.598785166,5.604760208,60.717710995000004,71.751350473,0.111892583,0.013710274,29.571611253,22.630179059,33.5,4,7.5,33.5,5.5,3.848400758,0.24986111195935007,0.051117278,1.935154082,0.080327151,1.4045,0.0696,17.02,1.538,0.07,0.7855,5.075,2.288,1.784,2.3200000000000003,330.8019057095323,0.8554999999999999,0.6825000000000001
1,1,0.11327633601648496,242.60078023407021,Oreochrysum parryi,0.00882796915195483,bm,b1,b1c,14.7,CP_B1_BM_C_5,1.4,0.07,6.08,94.74,8.56,1.29,7.27,0.39,0.3,4.37,0.99,5.46,28.25,2.73,12.74,10.72,9.93,12.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.79766445147637,5.795591707751,0.995318949404201,0.995413149805374,0.924243285086909,0.927012285546557,3.5696694455153,3.34662222448576,97,125,0.953707573721555,0.926465805805892,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0,0,9.598785166,5.604760208,60.717710995000004,71.751350473,0.111892583,0.013710274,29.571611253,22.630179059,33.5,4,7.5,33.5,5.5,3.848400758,0.24986111195935007,0.051117278,1.935154082,0.080327151,1.4045,0.0696,17.02,1.538,0.07,0.7855,5.075,2.288,1.784,2.3200000000000003,330.8019057095323,0.8554999999999999,0.6825000000000001
4,15,0.1052184313468304,236.26821102162705,Oreochrysum parryi,0.00950403828682553,bm,b1,b1c,14.7,CP_B1_BM_C_5,1.4,0.07,6.08,94.74,8.56,1.29,7.27,0.39,0.3,4.37,0.99,5.46,28.25,2.73,12.74,10.72,9.93,12.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.79766445147637,5.795591707751,0.995318949404201,0.995413149805374,0.924243285086909,0.927012285546557,3.5696694455153,3.34662222448576,97,125,0.953707573721555,0.926465805805892,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0,0,9.598785166,5.604760208,60.717710995000004,71.751350473,0.111892583,0.013710274,29.571611253,22.630179059,33.5,4,7.5,33.5,5.5,3.848400758,0.24986111195935007,0.051117278,1.935154082,0.080327151,1.4045,0.0696,17.02,1.538,0.07,0.7855,5.075,2.288,1.784,2.3200000000000003,330.8019057095323,0.8554999999999999,0.6825000000000001
3,10,0.1001299025052922,281.9063523668829,Oreochrysum parryi,0.00998702660223949,bm,b1,b1c,14.7,CP_B1_BM_C_5,1.4,0.07,6.08,94.74,8.56,1.29,7.27,0.39,0.3,4.37,0.99,5.46,28.25,2.73,12.74,10.72,9.93,12.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.79766445147637,5.795591707751,0.995318949404201,0.995413149805374,0.924243285086909,0.927012285546557,3.5696694455153,3.34662222448576,97,125,0.953707573721555,0.926465805805892,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0,0,9.598785166,5.604760208,60.717710995000004,71.751350473,0.111892583,0.013710274,29.571611253,22.630179059,33.5,4,7.5,33.5,5.5,3.848400758,0.24986111195935007,0.051117278,1.935154082,0.080327151,1.4045,0.0696,17.02,1.538,0.07,0.7855,5.075,2.288,1.784,2.3200000000000003,330.8019057095323,0.8554999999999999,0.6825000000000001
2,11,0.0869318529069647,272.1904027064724,Oreochrysum parryi,0.01150326337884698,bm,b1,b1c,14.7,CP_B1_BM_C_5,1.4,0.07,6.08,94.74,8.56,1.29,7.27,0.39,0.3,4.37,0.99,5.46,28.25,2.73,12.74,10.72,9.93,12.91,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.79766445147637,5.795591707751,0.995318949404201,0.995413149805374,0.924243285086909,0.927012285546557,3.5696694455153,3.34662222448576,97,125,0.953707573721555,0.926465805805892,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0,0,9.598785166,5.604760208,60.717710995000004,71.751350473,0.111892583,0.013710274,29.571611253,22.630179059,33.5,4,7.5,33.5,5.5,3.848400758,0.24986111195935007,0.051117278,1.935154082,0.080327151,1.4045,0.0696,17.02,1.538,0.07,0.7855,5.075,2.288,1.784,2.3200000000000003,330.8019057095323,0.8554999999999999,0.6825000000000001
1,10,0.14166228370875458,332.22748815165875,Vaccinium sp,0.00705904192576701,b,b1,b1d,15.5,CP_B1_B_D_5,1.59,0.07,6,136.5,12.47,1.77,10.7,0.52,0.41,6.01,1.36,3.91,27.07,3.3,17.57,10.67,13.46,4.86,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.36135785868205,5.19346995553804,0.991602593795555,0.990924402927368,0.902960028116178,0.900832229660065,3.5258130213939,3.80155131122625,86,170,0.948993093341719,0.959061342390522,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0,0.01672081,1.3403542370000001,3.0718517089999997,77.42141375099999,54.495509262999995,0.6861337160000001,3.062296961999999,20.552098292000004,39.37034206100002,44.5,5,14,0,22.5,2.744787543,0.20021673070287016,0.475059382,1.464766429,0.804961731,1.5876,0.0728,23.42,2.139,0.09,1.032,4.6450000000000005,3.015,2.309,0.8345,349.9597809248091,1.122,1.0169999999999997
4,11,0.11666247578161903,319.9300699300699,Vaccinium sp,0.00857173648424797,b,b1,b1d,15.5,CP_B1_B_D_5,1.59,0.07,6,136.5,12.47,1.77,10.7,0.52,0.41,6.01,1.36,3.91,27.07,3.3,17.57,10.67,13.46,4.86,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.36135785868205,5.19346995553804,0.991602593795555,0.990924402927368,0.902960028116178,0.900832229660065,3.5258130213939,3.80155131122625,86,170,0.948993093341719,0.959061342390522,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0,0.01672081,1.3403542370000001,3.0718517089999997,77.42141375099999,54.495509262999995,0.6861337160000001,3.062296961999999,20.552098292000004,39.37034206100002,44.5,5,14,0,22.5,2.744787543,0.20021673070287016,0.475059382,1.464766429,0.804961731,1.5876,0.0728,23.42,2.139,0.09,1.032,4.6450000000000005,3.015,2.309,0.8345,349.9597809248091,1.122,1.0169999999999997
3,12,0.11368243722082826,364.5833333333333,Vaccinium sp,0.00879643350764462,b,b1,b1d,15.5,CP_B1_B_D_5,1.59,0.07,6,136.5,12.47,1.77,10.7,0.52,0.41,6.01,1.36,3.91,27.07,3.3,17.57,10.67,13.46,4.86,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.36135785868205,5.19346995553804,0.991602593795555,0.990924402927368,0.902960028116178,0.900832229660065,3.5258130213939,3.80155131122625,86,170,0.948993093341719,0.959061342390522,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0,0.01672081,1.3403542370000001,3.0718517089999997,77.42141375099999,54.495509262999995,0.6861337160000001,3.062296961999999,20.552098292000004,39.37034206100002,44.5,5,14,0,22.5,2.744787543,0.20021673070287016,0.475059382,1.464766429,0.804961731,1.5876,0.0728,23.42,2.139,0.09,1.032,4.6450000000000005,3.015,2.309,0.8345,349.9597809248091,1.122,1.0169999999999997
2,12,0.11852082760400535,347.8437754271766,Vaccinium sp,0.00843733561615971,b,b1,b1d,15.5,CP_B1_B_D_5,1.59,0.07,6,136.5,12.47,1.77,10.7,0.52,0.41,6.01,1.36,3.91,27.07,3.3,17.57,10.67,13.46,4.86,9.12,7.12,25.4,24.3,16.3,17.2,74.6,75.7,5.36135785868205,5.19346995553804,0.991602593795555,0.990924402927368,0.902960028116178,0.900832229660065,3.5258130213939,3.80155131122625,86,170,0.948993093341719,0.959061342390522,39.94215,-105.950482,10.64211793861825,201.36265630016828,1,4.25,8,6.5291860677066555,3076,156.36265630016828,0,0.01672081,1.3403542370000001,3.0718517089999997,77.42141375099999,54.495509262999995,0.6861337160000001,3.062296961999999,20.552098292000004,39.37034206100002,44.5,5,14,0,22.5,2.744787543,0.20021673070287016,0.475059382,1.464766429,0.804961731,1.5876,0.0728,23.42,2.139,0.09,1.032,4.6450000000000005,3.015,2.309,0.8345,349.9597809248091,1.122,1.0169999999999997
